DATE,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL
1/1/22,62.7,40.6
1/2/22,62.7,40.6
1/3/22,62.7,40.5
1/4/22,62.6,40.5
1/5/22,62.6,40.5
1/6/22,62.6,40.5
1/7/22,62.6,40.5
1/8/22,62.6,40.5
1/9/22,62.6,40.5
1/10/22,62.6,40.5
1/11/22,62.7,40.5
1/12/22,62.7,40.6
1/13/22,62.8,40.6
1/14/22,62.8,40.6
1/15/22,62.9,40.7
1/16/22,63,40.7
1/17/22,63.1,40.8
1/18/22,63.2,40.9
1/19/22,63.3,40.9
1/20/22,63.4,41
1/21/22,63.5,41.1
1/22/22,63.6,41.2
1/23/22,63.8,41.3
1/24/22,63.9,41.4
1/25/22,64,41.5
1/26/22,64.2,41.6
1/27/22,64.3,41.8
1/28/22,64.5,41.9
1/29/22,64.6,42
1/30/22,64.8,42.2
1/31/22,64.9,42.3
2/1/22,65.1,42.5
2/2/22,65.3,42.6
2/3/22,65.4,42.8
2/4/22,65.6,43
2/5/22,65.8,43.1
2/6/22,66,43.3
2/7/22,66.1,43.5
2/8/22,66.3,43.7
2/9/22,66.5,43.9
2/10/22,66.7,44.1
2/11/22,66.8,44.3
2/12/22,67,44.5
2/13/22,67.2,44.7
2/14/22,67.4,44.9
2/15/22,67.6,45.1
2/16/22,67.7,45.3
2/17/22,67.9,45.5
2/18/22,68.1,45.8
2/19/22,68.3,46
2/20/22,68.5,46.2
2/21/22,68.7,46.4
2/22/22,68.9,46.7
2/23/22,69,46.9
2/24/22,69.2,47.1
2/25/22,69.4,47.4
2/26/22,69.6,47.6
2/27/22,69.8,47.9
2/28/22,70.1,48.1
2/1/29,70.2,48.2
3/1/22,70.3,48.3
3/2/22,70.5,48.6
3/3/22,70.7,48.8
3/4/22,70.9,49
3/5/22,71.1,49.3
3/6/22,71.4,49.5
3/7/22,71.6,49.8
3/8/22,71.8,50
3/9/22,72.1,50.2
3/10/22,72.3,50.5
3/11/22,72.5,50.7
3/12/22,72.8,50.9
3/13/22,73,51.2
3/14/22,73.3,51.4
3/15/22,73.5,51.6
3/16/22,73.8,51.9
3/17/22,74,52.1
3/18/22,74.3,52.3
3/19/22,74.5,52.5
3/20/22,74.8,52.7
3/21/22,75,53
3/22/22,75.3,53.2
3/23/22,75.5,53.4
3/24/22,75.8,53.6
3/25/22,76,53.8
3/26/22,76.3,54
3/27/22,76.5,54.2
3/28/22,76.7,54.5
3/29/22,77,54.7
3/30/22,77.2,54.9
3/31/22,77.4,55.1
4/1/22,77.6,55.3
4/2/22,77.8,55.5
4/3/22,78.1,55.7
4/4/22,78.3,55.9
4/5/22,78.5,56.1
4/6/22,78.7,56.3
4/7/22,78.9,56.5
4/8/22,79,56.7
4/9/22,79.2,56.9
4/10/22,79.4,57.1
4/11/22,79.6,57.3
4/12/22,79.8,57.5
4/13/22,79.9,57.8
4/14/22,80.1,58
4/15/22,80.3,58.2
4/16/22,80.4,58.4
4/17/22,80.6,58.6
4/18/22,80.8,58.9
4/19/22,80.9,59.1
4/20/22,81.1,59.3
4/21/22,81.2,59.6
4/22/22,81.4,59.8
4/23/22,81.6,60
4/24/22,81.7,60.3
4/25/22,81.9,60.5
4/26/22,82.1,60.8
4/27/22,82.3,61.1
4/28/22,82.4,61.3
4/29/22,82.6,61.6
4/30/22,82.8,61.9
5/1/22,83,62.1
5/2/22,83.2,62.4
5/3/22,83.4,62.7
5/4/22,83.6,63
5/5/22,83.8,63.2
5/6/22,84.1,63.5
5/7/22,84.3,63.8
5/8/22,84.5,64.1
5/9/22,84.8,64.4
5/10/22,85,64.7
5/11/22,85.3,65
5/12/22,85.5,65.3
5/13/22,85.8,65.6
5/14/22,86,65.9
5/15/22,86.3,66.2
5/16/22,86.5,66.5
5/17/22,86.8,66.8
5/18/22,87.1,67
5/19/22,87.3,67.3
5/20/22,87.6,67.6
5/21/22,87.9,67.9
5/22/22,88.1,68.2
5/23/22,88.4,68.4
5/24/22,88.7,68.7
5/25/22,88.9,69
5/26/22,89.2,69.2
5/27/22,89.4,69.5
5/28/22,89.7,69.7
5/29/22,89.9,70
5/30/22,90.1,70.2
5/31/22,90.3,70.4
6/1/22,90.6,70.6
6/2/22,90.8,70.8
6/3/22,91,71.1
6/4/22,91.1,71.2
6/5/22,91.3,71.4
6/6/22,91.5,71.6
6/7/22,91.7,71.8
6/8/22,91.8,71.9
6/9/22,91.9,72.1
6/10/22,92.1,72.3
6/11/22,92.2,72.4
6/12/22,92.3,72.5
6/13/22,92.4,72.7
6/14/22,92.5,72.8
6/15/22,92.6,72.9
6/16/22,92.7,73
6/17/22,92.8,73.1
6/18/22,92.8,73.2
6/19/22,92.9,73.3
6/20/22,92.9,73.3
6/21/22,93,73.4
6/22/22,93.1,73.5
6/23/22,93.1,73.6
6/24/22,93.2,73.6
6/25/22,93.2,73.7
6/26/22,93.2,73.7
6/27/22,93.3,73.8
6/28/22,93.3,73.8
6/29/22,93.4,73.9
6/30/22,93.4,73.9
7/1/22,93.5,74
7/2/22,93.5,74
7/3/22,93.6,74.1
7/4/22,93.7,74.1
7/5/22,93.7,74.2
7/6/22,93.8,74.2
7/7/22,93.9,74.3
7/8/22,94,74.3
7/9/22,94.1,74.3
7/10/22,94.1,74.4
7/11/22,94.2,74.4
7/12/22,94.3,74.5
7/13/22,94.5,74.5
7/14/22,94.6,74.6
7/15/22,94.7,74.6
7/16/22,94.8,74.7
7/17/22,94.9,74.7
7/18/22,95.1,74.8
7/19/22,95.2,74.8
7/20/22,95.3,74.9
7/21/22,95.4,75
7/22/22,95.6,75
7/23/22,95.7,75.1
7/24/22,95.8,75.1
7/25/22,95.9,75.2
7/26/22,96.1,75.2
7/27/22,96.2,75.2
7/28/22,96.3,75.3
7/29/22,96.4,75.3
7/30/22,96.5,75.4
7/31/22,96.6,75.4
8/1/22,96.7,75.4
8/2/22,96.7,75.5
8/3/22,96.8,75.5
8/4/22,96.8,75.5
8/5/22,96.9,75.5
8/6/22,96.9,75.5
8/7/22,96.9,75.5
8/8/22,96.9,75.5
8/9/22,96.9,75.5
8/10/22,96.9,75.5
8/11/22,96.9,75.5
8/12/22,96.8,75.4
8/13/22,96.7,75.4
8/14/22,96.7,75.3
8/15/22,96.6,75.3
8/16/22,96.5,75.2
8/17/22,96.4,75.1
8/18/22,96.2,75.1
8/19/22,96.1,75
8/20/22,95.9,74.9
8/21/22,95.8,74.8
8/22/22,95.6,74.7
8/23/22,95.4,74.5
8/24/22,95.2,74.4
8/25/22,95,74.3
8/26/22,94.8,74.1
8/27/22,94.6,74
8/28/22,94.4,73.8
8/29/22,94.2,73.6
8/30/22,94,73.5
8/31/22,93.7,73.3
9/1/22,93.5,73.1
9/2/22,93.2,72.9
9/3/22,93,72.7
9/4/22,92.8,72.5
9/5/22,92.5,72.3
9/6/22,92.3,72
9/7/22,92,71.8
9/8/22,91.8,71.6
9/9/22,91.6,71.4
9/10/22,91.3,71.1
9/11/22,91.1,70.9
